Year,Worldwide
1959,2
1960,0
1961,2
1962,4
1963,5
1964,8
1965,3
1966,1
1967,2
1968,3
1969,0
1970,2
1971,3
1972,0
1973,0
1974,0
1975,0
1976,3
1977,3
1978,1
1979,0
1980,1
1981,1
1982,1
1983,0
1984,2
1985,1
1986,3
1987,0
1988,0
1989,0
1990,1
1991,1
1992,0
1993,0
1994,1
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,1
2006,1
2007,1
2008,1
2009,0
2010,1
2011,0
2012,0
2013,2
2014,2
2015,2
2016,2
2017,2
2018,3
2019,5
2020,2
2021,3
2022,1
