vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,owner,owner_flag,source_code
AUS-152391,503010790,JULIEBURGESS,VLJV,,AUS,,AUS,AUS
AUS-178452|IMO-5348380,503127520,TACOMA,,5348380,AUS,,AUS,AUS
AUS-191901|CCSBT-FV01286|IMO-8565355|IOTC-8593|WCPFC-5059,503555500,FISCO1,VHN9944,8565355,AUS,DDD LAVALLE FISHERIES,AUS,"CCSBT, IOTC, WCPFC"
AUS-191908|IMO-7319759,503083330,RUBYENTERPRISE,VL2084,7319759,AUS,,AUS,AUS
AUS-191908|IMO-7319759,503083330,RUBYENTERPRISE,VL2084,7319759,AUS,RUBY MARINE ENGINEERING,AUS,IMO
AUS-196766,503096150,OTWAYHUNTER,,,AUS,,AUS,AUS
AUS-196982,503013280,PENGHANA,,,AUS,,AUS,AUS
AUS-199156,503702800,SHOALBAY,,,AUS,,AUS,AUS
AUS-301828|IMO-5314987|AUS-A182,503316000,SAXONONWARD,VJT5748,5314987,AUS,,AUS,AUS
AUS-301828|IMO-5314987|AUS-A182,503316000,SAXONONWARD,VJT5748,5314987,AUS,SEAFOOD SPECIALISTS,AUS,IMO
AUS-316170,503112310,NWINSCRIPTION,,,AUS,,AUS,AUS
AUS-317090,503107020,ROSEBUD,,,AUS,,AUS,AUS
AUS-317886,503039890,AMANDAJANE,,,AUS,,AUS,AUS
AUS-332048,503070620,AMANDAVERNEK,,,AUS,,AUS,AUS
AUS-332087,503106060,CHARINGCROSS,,,AUS,,AUS,AUS
AUS-332096|IMO-7217808,503109320,BANDILLK,,7217808,AUS,,AUS,AUS
AUS-332097|IMO-7217810,503050470,NOALIMBAK,,7217810,AUS,,AUS,AUS
AUS-332097|IMO-7217810,503050470,NOALIMBAK,,7217810,AUS,TIDAL CORP,AUS,IMO
AUS-332309,503081020,MAYA,,,AUS,,AUS,AUS
AUS-332425|IMO-8019978,503000184,DELAMERE,,8019978,AUS,,AUS,AUS
AUS-343501,503124510,SEABREEZE2,,,AUS,,AUS,AUS
AUS-343502,503120070,MISSANITA,,,AUS,,AUS,AUS
AUS-343546,503053890,SOUTHCAPE,,,AUS,,AUS,AUS
AUS-343553,503655300,DERWENTPRIDE,VJN3951,,AUS,,AUS,AUS
AUS-343581,503098680,SOUTHERNHUNTER,,,AUS,,AUS,AUS
AUS-343863,503074590,GEORGESBAY,,,AUS,,AUS,AUS
AUS-343915,503061870,BUAJA,,,AUS,,AUS,AUS
AUS-343990,503121710,NEPTUNE,,,AUS,,AUS,AUS
AUS-343990,503120850,NEPTUNE,,,AUS,,AUS,AUS
AUS-343995,503033910,INTREPID,,,AUS,,AUS,AUS
AUS-355117|IMO-7227712,503022970,BELOSTAR,VNW6197,7227712,AUS,,AUS,AUS
AUS-355117|IMO-7227712,503022970,BELOSTAR,VNW6197,7227712,AUS,PURESEA INVESTMENTS,AUS,IMO
AUS-355150|IMO-7320617,503601900,SALTRIVER,,7320617,AUS,,AUS,AUS
AUS-355181,503509200,ARTEMIS,VJN3601,,AUS,,AUS,AUS
AUS-355255,503002540,FALCON,VNW5903,,AUS,,AUS,AUS
AUS-355260,503110550,VOLITION,,,AUS,,AUS,AUS
AUS-355267,503076050,CRUSADER,,,AUS,,AUS,AUS
AUS-355463|CCSBT-FV01440|IMO-7328970|IOTC-24|WCPFC-5137,503039080,MARIALUISA,VMML,7328970,AUS,AUSTRALIAN FISHING ENTERPRISES,AUS,"CCSBT, IOTC, WCPFC"
AUS-355489|IMO-7356226,503031120,TRIDENTAURORA,VNW3522,7356226,AUS,,AUS,AUS
AUS-355489|IMO-7356226,503031120,TRIDENTAURORA,VNW3522,7356226,AUS,CLIPPER HOLDINGS,AUS,IMO
AUS-355493|IMO-7426887,503061880,BARAMEDA,VM9216,7426887,AUS,,AUS,AUS
AUS-355493|IMO-7426887,503061880,BARAMEDA,VM9216,7426887,AUS,BARAMEDA FISHERIES,AUS,IMO
AUS-355498,503024950,VANSITTART,,,AUS,,AUS,AUS
AUS-355518,503499100,DAMPIER,VJD2705,,AUS,,AUS,AUS
AUS-355592,503069380,BIRUBI,,,AUS,,AUS,AUS
AUS-355596,503695800,FAYSEAG,,,AUS,,AUS,AUS
AUS-355610,503071670,SEAHOUND,,,AUS,,AUS,AUS
AUS-355636|IMO-7436131,503368000,BOOBYBIRD,VL8665,7436131,AUS,,AUS,AUS
AUS-355636|IMO-7436131,503368000,BOOBYBIRD,VL8665,7436131,AUS,DITCHSIDE,AUS,IMO
AUS-355665,503032290,TAURANGA,,,AUS,,AUS,AUS
AUS-355795,503649500,RACHEL,VM2243,,AUS,,AUS,AUS
AUS-355800,503071940,TEMPTATION,ZX595Q,,AUS,,AUS,AUS
AUS-355862,503092150,WESTMORE,,,AUS,,AUS,AUS
AUS-355891|IMO-7909310,503062440,COPIOUS,,7909310,AUS,,AUS,AUS
AUS-355933,503119470,MISSDEBADEL,,,AUS,,AUS,AUS
AUS-355973,503048140,NWCARNARVON2,,,AUS,,AUS,AUS
AUS-374382,503093270,CHARISSA,,,AUS,,AUS,AUS
AUS-374463,503098530,KARLYLE,,,AUS,,AUS,AUS
AUS-374465,503035410,STARDANCER,,,AUS,,AUS,AUS
AUS-374466,503021080,PHOENIX,,,AUS,,AUS,AUS
AUS-374466,503129880,PHOENIX,,,AUS,,AUS,AUS
AUS-374466,503124310,PHOENIX,,,AUS,,AUS,AUS
AUS-374466,503124260,PHOENIX,,,AUS,,AUS,AUS
AUS-374509|CCSBT-FV01355|IMO-8779712,503034780,SOUTHERNCONDOR,VM7780,8779712,AUS,,AUS,AUS
AUS-374509|CCSBT-FV01355|IMO-8779712,503034780,SOUTHERNCONDOR,VM7780,8779712,AUS,TUNA FARMERS,AUS,CCSBT
AUS-374509|CCSBT-FV01355|IMO-8779712,503034780,SOUTHERNCONDOR,VM7780,8779712,AUS,DINKO TUNA FARMERS,AUS,IMO
AUS-374573,503381200,FORTESCUE,VM7054,,AUS,,AUS,AUS
AUS-374728|IMO-7927582,503195900,SIXPACK2,VM9033,7927582,AUS,,AUS,AUS
AUS-374728|IMO-7927582,503195900,SIXPACK2,VM9033,7927582,AUS,SAMSON SEAFOODS,AUS,IMO
AUS-374757,503060620,PIONEERSTAR,,,AUS,,AUS,AUS
AUS-374759,503559200,HIGHNOON,VZN5492,,AUS,,AUS,AUS
AUS-374777|IMO-7817581|AUS-SB3,503013330,PETUNAENDEAVOUR,VM4869,7817581,AUS,ROCKLIFFE PG UM,AUS,RESEARCH-PAPER
AUS-374778,503069690,SECONDWIND,,,AUS,,AUS,AUS
AUS-374778,503108620,SECONDWIND,,,AUS,,AUS,AUS
AUS-374798,503055590,SILDA,,,AUS,,AUS,AUS
AUS-374815,503047480,MARVAN2,,,AUS,,AUS,AUS
AUS-374819|IMO-7719428,503110190,MISPERCEPTION,VNW5373,7719428,AUS,,AUS,AUS
AUS-374819|IMO-7719428,503110190,MISPERCEPTION,VNW5373,7719428,AUS,FAR WEST SCALLOPS INDUSTRIES,AUS,IMO
AUS-374894|IMO-7910125,503048210,CAPEBELLEFIN,,7910125,AUS,,AUS,AUS
AUS-374895,503020010,EASYRIDER,ADV112N,,AUS,,AUS,AUS
AUS-374963,503071480,LUCINDABAY,EG606Q,,AUS,,AUS,AUS
AUS-374979,503115890,REVOLUTION,,,AUS,,AUS,AUS
AUS-374984,503416600,GUNSYND2,,,AUS,,AUS,AUS
AUS-375000,503080200,GWENDOLINEMAY,,,AUS,,AUS,AUS
AUS-375009,503596900,YVONNE,OD059Q,,AUS,,AUS,AUS
AUS-375048|CCSBT-FV04806|IMO-8784872|IOTC-8528|WCPFC-5086,503798700,SCORPION,VMQ4146,8784872,AUS,SCORPION,AUS,"CCSBT, IMO, IOTC, WCPFC"
AUS-375050,503023650,JACKA,,,AUS,,AUS,AUS
AUS-375111,503617400,OUTSIDER,,,AUS,,AUS,AUS
AUS-375137|IMO-7909322,503083840,XANADU1,,7909322,AUS,,AUS,AUS
AUS-375138|IMO-7909334,503022330,TAKARI,,7909334,AUS,,AUS,AUS
AUS-375164,503098550,CAPEADIEU,,,AUS,,AUS,AUS
AUS-375185|CCSBT-FV04371|IMO-8774906,503035030,MICHELLE,VHS2473,8774906,AUS,MICHELLE FISHERIES,AUS,"CCSBT, IMO"
AUS-375216,503104670,SEARAY,,,AUS,,AUS,AUS
AUS-375298|IMO-8006139,503048160,NWLEVILLIAN,,8006139,AUS,,AUS,AUS
AUS-375298|IMO-8006139,503048160,NWLEVILLIAN,,8006139,AUS,TENNEREEF,AUS,IMO
AUS-385204|IMO-7902128,503756700,MATILDABAY,VM3134,7902128,AUS,,AUS,AUS
AUS-385219,503091160,REWARD2,,,AUS,,AUS,AUS
AUS-385222,503034010,BRINECUTTER,,,AUS,,AUS,AUS
AUS-385264,503262700,SOUTHERNMIST,,,AUS,,AUS,AUS
AUS-385297,503069590,MARIANH,,,AUS,,AUS,AUS
AUS-385325,503021170,DANNYB,,,AUS,,AUS,AUS
AUS-385330,503041340,SEAHARVEST,VNZ2177,,AUS,,AUS,AUS
AUS-385360,503727500,ANTARES1,,,AUS,,AUS,AUS
AUS-385410,503748900,JAMESKERLIN,VHAW,,AUS,,AUS,AUS
AUS-385458,503567300,PIPPYDEE,LFB5780,,AUS,,AUS,AUS
AUS-385490,503111080,HOLLANDIA,,,AUS,,AUS,AUS
AUS-385536,503697800,MANA,,,AUS,,AUS,AUS
AUS-385552,503279200,NAMBUCCA,NAMBUCC,,AUS,,AUS,AUS
AUS-385555,503125560,SOUTHERNSTAR,,,AUS,,AUS,AUS
AUS-385556,503635400,ILUKASTAR,,,AUS,,AUS,AUS
AUS-385620,503087490,UANNJO,,,AUS,,AUS,AUS
AUS-385623,503007230,OCEANODYSSEY,QW330,,AUS,,AUS,AUS
AUS-385625|CCSBT-FV01469|IMO-8003618|IOTC-12|WCPFC-11095,503031020,OCEANDYNASTY,VHS6354,8003618,AUS,STEHR GROUP,AUS,"CCSBT, IOTC, WCPFC"
AUS-385636|IMO-8019904,503005880,MONIKA,,8019904,AUS,,AUS,AUS
AUS-385637|CCSBT-FV01285|IMO-8019916,503033430,FINAK,VM7815,8019916,AUS,FINA K,AUS,"CCSBT, IMO"
AUS-385644,503108070,SENSATION,,,AUS,,AUS,AUS
AUS-385644,503116020,SENSATION,,,AUS,,AUS,AUS
AUS-385662,503529300,PAMELAJ,,,AUS,,AUS,AUS
AUS-385664,503399700,FAIRWIND,,,AUS,,AUS,AUS
AUS-385701,503052130,SAPPHIRESTAR,,,AUS,,AUS,AUS
AUS-385747,503118080,SASSENACH,,,AUS,,AUS,AUS
AUS-385750,503114040,RAPSCALLION,,,AUS,,AUS,AUS
AUS-385754,503012080,MAXIM,,,AUS,,AUS,AUS
AUS-385758,503128170,DIAMONDLIL,,,AUS,,AUS,AUS
AUS-385766,503060090,SOUTHERNINTRUDER,,,AUS,,AUS,AUS
AUS-385781,503657500,BETJAY,VJN2308,,AUS,,AUS,AUS
AUS-385791,503005980,LADYBEATRICE,,,AUS,,AUS,AUS
AUS-385805|IMO-8011677,503048150,NWHEIRISSON1,,8011677,AUS,,AUS,AUS
AUS-385809|IMO-8011689|IOTC-9965,503744200,MARYJANESTELLA,,8011689,AUS,MARELLEN,AUS,"IMO, IOTC"
AUS-385811|IMO-8011706,503018780,ROEBUCK2,VJD3170,8011706,AUS,,AUS,AUS
AUS-385879,503103450,ALISTAR,,,AUS,,AUS,AUS
AUS-385881,503102150,PEG2,,,AUS,,AUS,AUS
AUS-385895|IMO-8016603,503112750,REX,,8016603,AUS,,AUS,AUS
AUS-385896,503098260,MARKINA,,,AUS,,AUS,AUS
AUS-385923,503057970,TERIKI,,,AUS,,AUS,AUS
AUS-385926,503000158,VIVIENNE,,,AUS,,AUS,AUS
AUS-385947|IMO-8108420,503711100,LATITUDE,,8108420,AUS,,AUS,AUS
AUS-385950,503047210,RODENLEE,,,AUS,,AUS,AUS
AUS-385952,503449600,REVIRESCO,VZQ9273,,AUS,,AUS,AUS
AUS-385954,503037950,RESTLESS,,,AUS,,AUS,AUS
AUS-385954,503131430,RESTLESS,,,AUS,,AUS,AUS
AUS-385961,503025450,IRONSUMMER,,,AUS,,AUS,AUS
AUS-385965,503119850,PACIFICMIST,,,AUS,,AUS,AUS
AUS-385980,503021420,ANNTINE,,,AUS,,AUS,AUS
AUS-385981,503075890,SADIEREEVES,2491QB,,AUS,,AUS,AUS
AUS-385991,503040520,KANDU,,,AUS,,AUS,AUS
AUS-385993,503020790,VALDON,,,AUS,,AUS,AUS
AUS-386000,503552600,SHEREESTAR,VHN2706,,AUS,,AUS,AUS
AUS-386038,503090800,SEAURCHIN,,,AUS,,AUS,AUS
AUS-386076|IMO-7927673,503005550,BRISBANEPEARL,VJN3760,7927673,AUS,,AUS,AUS
AUS-386083|IMO-8003577,503083320,BOUNTIFULLADY,VL5812,8003577,AUS,,AUS,AUS
AUS-386083|IMO-8003577,503083320,BOUNTIFULLADY,VL5812,8003577,AUS,RUBY MARINE ENGINEERING,AUS,IMO
AUS-386087,503119570,VANDALIA,,,AUS,,AUS,AUS
AUS-386092,503034680,SEAKING,,,AUS,,AUS,AUS
AUS-386095,503110830,SANTIEGO,,,AUS,,AUS,AUS
AUS-386103,503081010,IDAG,,,AUS,,AUS,AUS
AUS-386130|AUS-852876|IMO-8000032,503064000,BLUEFIN,VKBF,8000032,AUS,,AUS,AUS
AUS-386130|AUS-852876|IMO-8000032,503064000,BLUEFIN,VKBF,8000032,AUS,UNIVERSITY OF TASMANIA,AUS,IMO
AUS-386139,503054560,BABIRUSA,,,AUS,,AUS,AUS
AUS-386165|IMO-8126264,503711500,POINTCLOATES,VM6640,8126264,AUS,,AUS,AUS
AUS-386195,503121650,RELIANCE2,,,AUS,,AUS,AUS
AUS-396212,503035670,MERIKI,,,AUS,,AUS,AUS
AUS-396214,503646300,EYLANDTER2,VMQ9455,,AUS,,AUS,AUS
AUS-396220,503066790,STEVENC,,,AUS,,AUS,AUS
AUS-396228,503564900,BLACKWITCH,,,AUS,,AUS,AUS
AUS-396230,503119890,KARANGI,,,AUS,,AUS,AUS
AUS-396231|IMO-8136893,503018810,ODIN2,VJD3171,8136893,AUS,,AUS,AUS
AUS-396245|CCSBT-FV01279|IMO-8019954,503584700,EMPRISLADY,VHS6319,8019954,AUS,KIS TUNA,AUS,"CCSBT, IMO"
AUS-396251,503076440,CARINA,,,AUS,,AUS,AUS
AUS-396257|IMO-8019942,503031030,YASMIN,,8019942,AUS,,AUS,AUS
AUS-396259|CCSBT-FV01271|IMO-8126173|IOTC-19|WCPFC-4456,503583100,CYROAMA,VZS2820,8126173,AUS,SAMS TUNA,AUS,"CCSBT, IMO, IOTC, WCPFC"
AUS-396265|IMO-8104060,503629100,INDEPENDENCE,ABS129N,8104060,AUS,,AUS,AUS
AUS-396298,503069660,TARANGI,,,AUS,,AUS,AUS
AUS-396511,503190600,TRINITY,TRINITY,,AUS,,AUS,AUS
AUS-396607|CCSBT-FV01490|IMO-8104072,503695000,SEAPRINCESSS,VHS5769,8104072,AUS,,AUS,AUS
AUS-396607|CCSBT-FV01490|IMO-8104072,503695000,SEAPRINCESSS,VHS5769,8104072,AUS,ROCKY ISLAND FISHERIES,AUS,CCSBT
AUS-396607|CCSBT-FV01490|IMO-8104072,503695000,SEAPRINCESSS,VHS5769,8104072,AUS,AUSTRALIAN FISHING ENTERPRISES,AUS,CCSBT
AUS-396607|CCSBT-FV01490|IMO-8104072,503695000,SEAPRINCESSS,VHS5769,8104072,AUS,SARUNIC BROS,AUS,IMO
AUS-418781|AUS-860009|IMO-7901758,503000144,VOYAGERP,VHS6500,7901758,AUS,,AUS,AUS
AUS-850016,503521500,DORADO2,,,AUS,,AUS,AUS
AUS-850030|IMO-8215223,503009340,CAPRICORNLADYK,,8215223,AUS,,AUS,AUS
AUS-850031|IMO-8038687,503002270,AUSTRALIABAY2,VJD3476,8038687,AUS,,AUS,AUS
AUS-850031|IMO-8038687,503002270,AUSTRALIABAY2,VJD3476,8038687,AUS,WESTMORE SEAFOODS,AUS,IMO
AUS-850040|CCSBT-FV01434|IMO-8120363,503033440,LUCKYS,,8120363,AUS,,AUS,AUS
AUS-850040|CCSBT-FV01434|IMO-8120363,503033440,LUCKYS,,8120363,AUS,AUSTRALIAN FISHING ENTERPRISES,AUS,CCSBT
AUS-850040|CCSBT-FV01434|IMO-8120363,503033440,LUCKYS,,8120363,AUS,LUCKY S FISHING PTY TLD,AUS,CCSBT
AUS-850040|CCSBT-FV01434|IMO-8120363,503033440,LUCKYS,,8120363,AUS,FINA K LUCKY S FISHING,AUS,IMO
AUS-850200,503130880,FLEETWING,,,AUS,,AUS,AUS
AUS-850216|IMO-8222537,503112390,COMACENTERPRISE,VM6829,8222537,AUS,,AUS,AUS
AUS-850216|IMO-8222537,503112390,COMACENTERPRISE,VM6829,8222537,AUS,AUSTRAL FISHERIES,AUS,IMO
AUS-850225|CCSBT-FV04368|IMO-8565109,503016690,LASTOVOS,VHS6138,8565109,AUS,TONY S TUNA INTL,AUS,IMO
AUS-850238|IMO-8409214,503065260,EMPRESSPEARL,VM7743,8409214,AUS,,AUS,AUS
AUS-850238|IMO-8409214,503065260,EMPRESSPEARL,VM7743,8409214,AUS,CORPORATE ALLIANCE ENTERPRISES,AUS,IMO
AUS-850333,503665500,KMAREE2,KMAREE2,,AUS,,AUS,AUS
AUS-850344,503517800,RACHELMAREE,MB7013,,AUS,,AUS,AUS
AUS-850359,503006440,EAGLE,VJN4512,,AUS,,AUS,AUS
AUS-850382,503072880,MAREEBA,,,AUS,,AUS,AUS
AUS-850461,503093490,THEHIGHLANDER,,,AUS,,AUS,AUS
AUS-850544|IMO-8614089,503027830,OCEANRAIDER,,8614089,AUS,,AUS,AUS
AUS-850577,503118560,DHIKARR,,,AUS,,AUS,AUS
AUS-850590,503041220,NAPIER,,,AUS,,AUS,AUS
AUS-850695|IMO-8222484,503015360,TERRITORYPEARL,VL6352,8222484,AUS,,AUS,AUS
AUS-850695|IMO-8222484,503015360,TERRITORYPEARL,VL6352,8222484,AUS,RAPTIS SONS,AUS,IMO
AUS-850700,503044130,EMERITUS2,,,AUS,,AUS,AUS
AUS-850732,503097120,OMEGA,455665,,AUS,,AUS,AUS
AUS-850750,503087130,BENINDA,,,AUS,,AUS,AUS
AUS-850797,503628300,PUTTYSPRIDE,VK4608,,AUS,,AUS,AUS
AUS-850843,503034140,JALAURA,,,AUS,,AUS,AUS
AUS-850856|IMO-8222496,503005680,EYLANDTPEARL,VL6353,8222496,AUS,,AUS,AUS
AUS-850856|IMO-8222496,503005680,EYLANDTPEARL,VL6353,8222496,AUS,RAPTIS INVESTMENTS,AUS,IMO
