"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2010",1238.547,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2020",138.411,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2014",94.028,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2021",43.306,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2019",79.254,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2022",356.762,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2021",346.078,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2020",303.746,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2019",297.376,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2018",287.307,,,"Working time arrangement coverage: Full-time and part time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
